transcript_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
nDi.2.2.2.t08084,35.16762762364388,-6.310095685917365,1.0748321272785524,7.309722946518427e-10,4.4276036133197324e-8
nDi.2.2.2.t11528,47.09197223798012,-4.975827590932989,0.8869253519247506,7.65336425220034e-10,4.5544230778006235e-8
nDi.2.2.2.t03049,33.617483795039476,-8.120846150802478,1.603139464834341,8.338657823258294e-10,4.8766771269814026e-8
nDi.2.2.2.t10922,42.571537082658075,-6.97904289980344,1.192840764774248,8.595198576066134e-10,4.941510774579039e-8
nDi.2.2.2.t04301,61.63012248264126,-3.8054736358185473,0.6719366885320419,1.1532757286563807e-9,6.519852119337406e-8
nDi.2.2.2.t08701,86.58484682701672,-3.5206140645710895,0.6211980525077262,1.2067659272169397e-9,6.710409877245671e-8
nDi.2.2.2.t00721,52.766510766145494,-4.363995632393813,0.783121908571153,1.3070065205209193e-9,7.150590512269287e-8
nDi.2.2.2.t08663,77.68324323629976,-5.090335189797174,0.9037625353967111,1.357887894949927e-9,7.31104085661929e-8
nDi.2.2.2.t10205,35.280121091160325,-7.048829627695875,1.276388723184505,1.8232320596434279e-9,9.514466378939243e-8
nDi.2.2.2.t11127,34.41674624221019,-7.822159084097533,1.507863457689444,1.8222364707152592e-9,9.514466378939243e-8
nDi.2.2.2.t05070,36.58128633667061,-7.980874470195498,1.5030569255349044,2.2970010747086237e-9,1.1805193402138866e-7
nDi.2.2.2.t02985,40.45924403761032,-4.393042334897272,0.7955412075891013,2.7539527233208734e-9,1.373736417280059e-7
nDi.2.2.2.t09350,51.66921323121902,-4.020508956520921,0.7369015366473783,2.7417717648719525e-9,1.373736417280059e-7
nDi.2.2.2.t00781,27.690465524017426,-6.320020918812553,1.1381646114659865,3.5760493355187133e-9,1.7579651226202138e-7
nDi.2.2.2.t03485,45.03867599174803,-5.838106153838159,1.0390019233714947,3.8166969743499065e-9,1.8297335431079086e-7
nDi.2.2.2.t12112,29.444830197243093,-10.266139687144811,3.0982318357832765,3.829925753557238e-9,1.8297335431079086e-7
nDi.2.2.2.t05468,99.3254755682828,-3.402423671857308,0.6251875538841942,4.621093316567572e-9,2.1770484069162784e-7
nDi.2.2.2.t04976,85.91119996168993,-3.512645827595498,0.6472514672185984,4.697379433579092e-9,2.1826727450274356e-7
nDi.2.2.2.t09604,32.80384385369305,-7.717149320589769,1.4911542941083002,6.520823485273097e-9,2.989004494871128e-7
nDi.2.2.2.t10488,20.85018548011631,-6.250526086676588,1.1939566210452282,8.031133987669616e-9,3.632214198156712e-7
nDi.2.2.2.t03854,97.05536505781984,5.839303645628725,1.0397446444407086,9.001526239648523e-9,3.96534766297244e-7
nDi.2.2.2.t12775,26.085506048427895,-10.033521393772514,3.0790413504911256,8.944430569811819e-9,3.96534766297244e-7
nDi.2.2.2.t07749,53.39115680204536,-4.5273239507962355,0.8921084170875537,9.124223720954531e-9,3.967867546343304e-7
nDi.2.2.2.t10403,23.088331086370882,-6.791549829056345,1.2708600097244627,9.654470173793935e-9,4.145311750570763e-7
nDi.2.2.2.t12333,26.541366438513627,-5.162937194378464,0.9835136376145531,1.0769199728386558e-8,4.5661406848359006e-7
nDi.2.2.2.t10299,23.803780822234682,-5.1693406820758625,0.9787089300806083,1.2017367783535422e-8,5.032458212561994e-7
nDi.2.2.2.t02331,29.08140107056236,-5.61720011050052,1.0756812677797447,1.3489816929848324e-8,5.580177930005551e-7
nDi.2.2.2.t10617,24.401615316094457,-9.920221428293015,3.0706579444004842,1.3724512413406838e-8,5.608860976659758e-7
nDi.2.2.2.t01937,43.17245125447708,-9.979981544370453,3.0926182273372955,1.5007071680077833e-8,6.059998468907619e-7
nDi.2.2.2.t07880,27.713125239578385,-4.510163641180256,0.8823270884756762,1.937180843626064e-8,7.730491084211306e-7
nDi.2.2.2.t01618,79.84788160276038,-3.538116342953589,0.6808858367329698,2.0983854318204077e-8,8.276422540389329e-7
nDi.2.2.2.t10625,28.2054991478818,-9.965328176045949,3.1074392104799915,2.198346099387877e-8,8.571022953015724e-7
nDi.2.2.2.t08374,21.45766371543599,-9.827013827140455,3.0703406645389992,2.257119055972966e-8,8.700167997568524e-7
nDi.2.2.2.t12448,22.149379909773455,-9.782676214272318,3.0663262268072606,2.616330271647978e-8,9.971452001606675e-7
nDi.2.2.2.t03474,25.132171865506177,-4.832996305645937,0.9477020505847027,2.6854402916303748e-8,1.0121126076900258e-6
nDi.2.2.2.t11734,24.16351195189538,-6.468834342766838,1.3371612020593797,2.8553038612222798e-8,1.064306670029228e-6
nDi.2.2.2.t06435,177.88402987312142,3.18926602173665,0.6380021719831991,4.938369699899116e-8,1.8207554371801957e-6
nDi.2.2.2.t02689,42.922551058462034,-3.695798456750076,0.7386272796026992,5.75987769577538e-8,2.1008070047387193e-6
nDi.2.2.2.t11040,71.91026883611146,-5.473674901412807,1.0719669363271715,5.8948834895255255e-8,2.1271749783479343e-6
nDi.2.2.2.t01138,23.792021961986443,-9.662464745741095,3.093241902797624,6.918727074313984e-8,2.470349709060319e-6
nDi.2.2.2.t09612,21.17213490895289,-5.70838395187472,1.1111051022180378,7.357600923402794e-8,2.599685659602321e-6
nDi.2.2.2.t04514,20.113253955664895,-5.789310971898611,1.1795964678987085,9.291798218698508e-8,3.2492556245180758e-6
nDi.2.2.2.t03775,19.926745108933382,-9.460198685696904,3.0601632708575006,9.589576183051265e-8,3.3191675931540706e-6
nDi.2.2.2.t05794,24.885287264883917,-5.271575857331134,1.0500776633537539,1.0354860017656849e-7,3.5478469878678823e-6
nDi.2.2.2.t05720,83.1042330371483,3.5218957722423196,0.718164262478079,1.079154915468136e-7,3.6604934732679172e-6
nDi.2.2.2.t09398,25.650217995101325,-6.6211802965458135,1.335104602584251,1.098687377691437e-7,3.68984909418748e-6
nDi.2.2.2.t07974,330.80292531903143,-2.7337668401142743,0.5610614154784423,1.2511429395254786e-7,4.160663579284729e-6
nDi.2.2.2.t07238,18.162690758447887,-9.261952897030644,3.017038058157365,1.2755925503978118e-7,4.200786340727551e-6
nDi.2.2.2.t02472,19.414624996888975,-5.344569049129074,1.1454116325243642,1.4130177335111083e-7,4.608611684682384e-6
nDi.2.2.2.t08443,65.56373151777353,4.250651338013134,0.8631599475951814,1.448170405644607e-7,4.678280015187149e-6
nDi.2.2.2.t03229,81.1366589942428,4.134555421892837,0.8766489752651335,1.527336215101838e-7,4.8874758883258815e-6
nDi.2.2.2.t04837,27.766213280136025,-4.212904196561272,0.8970112888133056,1.7114728053641151e-7,5.425528743733718e-6
nDi.2.2.2.t10097,58.504012782879265,3.990049883679773,0.8276402281574203,1.867284102326716e-7,5.864655254715019e-6
nDi.2.2.2.t02405,20.09467880760723,-4.390650355151838,0.9373925940631693,2.358313691018017e-7,7.3388991192046915e-6
nDi.2.2.2.t10031,18.10922731772551,-6.058607154238073,1.301482558573047,2.4127828051577473e-7,7.4401447955409806e-6
nDi.2.2.2.t05387,60.421816381644,4.158470418617927,0.872131558745821,3.125952600492006e-7,9.552460559341337e-6
nDi.2.2.2.t01690,27.687334477633687,-4.103963252941778,0.8707449742590729,3.161212404471896e-7,9.57395756782917e-6
nDi.2.2.2.t07455,79.93328062802608,3.5875039814791316,0.7850282907989538,3.5156728651029835e-7,1.0553241025158691e-5
nDi.2.2.2.t09120,18.055865392135455,-5.049873117071972,1.0943107714017417,3.818233035028281e-7,1.1360917942820991e-5
nDi.2.2.2.t11048,17.349763584533207,-8.8035972147682,2.967573062289905,4.3480259618866134e-7,1.2824786141495124e-5
nDi.2.2.2.t00856,25.79138623123623,-4.58285332602665,1.0212090215594862,4.4587784834077236e-7,1.303808328941293e-5
nDi.2.2.2.t06069,64.68066953958373,5.5449765973350305,1.1578475441655414,4.924122177824477e-7,1.4275745664256947e-5
nDi.2.2.2.t08489,46.90209134551109,-3.2693756478300995,0.7258573028232826,4.990858078371898e-7,1.4346602204947016e-5
nDi.2.2.2.t06356,19.48952192721702,-5.884792303378002,1.2590752164299874,5.211875555022895e-7,1.4856035195493834e-5
nDi.2.2.2.t06738,18.476652535164032,-5.240626413866724,1.126261430698188,5.370849762103016e-7,1.5056134209135065e-5
nDi.2.2.2.t09400,25.837941121258396,-4.744720616161774,1.0212863661478981,5.353813823272993e-7,1.5056134209135065e-5
nDi.2.2.2.t05332,25.824914383787263,-3.8070286933912914,0.8346672095761629,5.495279982170702e-7,1.515446317034392e-5
nDi.2.2.2.t11799,18.239417537146227,-5.926490428197844,1.3109167245805826,5.48882060315576e-7,1.515446317034392e-5
nDi.2.2.2.t08706,21.641107105800568,-6.734675293247822,1.5262581676728184,5.763603866632362e-7,1.576624541582014e-5
nDi.2.2.2.t06473,62.66168763578843,5.514287302636658,1.1505809257889206,5.945635197119056e-7,1.6069337138169922e-5
nDi.2.2.2.t07038,21.96804146418509,-5.068460988277077,1.1104980123219006,5.969152356749441e-7,1.6069337138169922e-5
nDi.2.2.2.t07036,31.396832969827894,-3.8291301959535167,0.8643672633017688,6.571222974622903e-7,1.755085695269361e-5
nDi.2.2.2.t07842,19.12294202547931,-4.76545622138851,1.0844510202007296,7.381323267261869e-7,1.9560506658243954e-5
nDi.2.2.2.t12301,15.125415985520057,-9.092389525901067,3.099724040231446,7.922402124290537e-7,2.083161860898721e-5
nDi.2.2.2.t05328,14.622963522633707,-5.404549019709214,1.2395401256979972,8.354167621944387e-7,2.179795121048874e-5
nDi.2.2.2.t00413,33.8373172725978,-3.630552520372794,0.8482213354359328,8.438231652087079e-7,2.1849222720518606e-5
nDi.2.2.2.t09121,66.95088935450173,4.9416332281011774,1.097890144733985,9.302354609203586e-7,2.3724501379262078e-5
nDi.2.2.2.t10359,24.66497149852865,-5.541960937979756,1.2488695686962032,9.291662543663777e-7,2.3724501379262078e-5
nDi.2.2.2.t00906,26.763399792106625,-3.4959596920048837,0.7985390962626654,1.0492195696529131e-06,2.655934910643792e-5
nDi.2.2.2.t03543,52.58420342239869,4.667211156586297,1.0646478298054778,1.1613396036956912e-6,2.917973285730211e-5
nDi.2.2.2.t04427,17.365255777629365,-4.756394848567246,1.0772936272299254,1.1855679082524122e-6,2.9569458417589575e-5
nDi.2.2.2.t07536,12.513277475248644,-8.610412210859975,2.988923709477751,1.2109828552428159e-6,2.998287478090242e-5
nDi.2.2.2.t05141,16.75143628178306,-4.534765827659796,1.0726602305688377,1.3579074991142647e-6,3.337697273185207e-5
nDi.2.2.2.t11218,14.926278266345191,-6.713117071735834,1.6743220455964583,1.4423393937198266e-6,3.519723182372411e-5
nDi.2.2.2.t08462,52.71959711097353,5.261080393295313,1.1592585804949327,1.598540127690728e-6,3.87303436651925e-5
nDi.2.2.2.t09523,20.573373545839395,-4.121517440860842,0.9618677932788546,1.631124236029922e-6,3.923952772066309e-5
nDi.2.2.2.t08082,16.401407622425847,-4.909698316372374,1.1214248417433705,1.7101284728573048e-6,4.085039281642238e-5
nDi.2.2.2.t11363,12.997672666147766,-5.812378493182423,1.3620987917846852,1.746357953486005e-6,4.142409914842328e-5
