transcript_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tcan_12875.1,292.81321531548735,-1.3283182047346551,0.3838025893651225,2.5215012856639986e-5,0.00366535123384839
Tcan_11644.1,1517.2010653955037,-1.3703185964496525,0.3974825041909098,2.5353994842993215e-5,0.00366535123384839
Tcan_02779.1,1614.6749743246355,-1.4924418701239497,0.4351710917190919,2.580617582718084e-5,0.0036926530982097647
Tcan_02437.1,304.23402463840745,1.8537697863221347,0.5455240518027096,2.7483628135227565e-5,0.003892958761013092
Tcan_00667.1,406.93804217597796,1.3786802569309842,0.40223289764218206,2.8136854595472208e-5,0.003945631119923068
Tcan_16982.1,863.2374329374663,1.301177464569911,0.38533638729443676,3.496693847669767e-5,0.004854865131274569
Tcan_06738.1,1507.1336104203049,-1.0487525925134644,0.30984502409042625,3.8399077481683277e-5,0.005279120230643574
Tcan_11393.1,2785.846733311902,1.1825737668449936,0.35346550640789876,4.148555445569979e-5,0.005648076991575516
Tcan_15507.1,100.14696706736673,-2.439245939769618,0.7552620129075664,4.301374383917174e-5,0.005743090991353963
Tcan_17808.1,274.58256671692874,1.8271094942074595,0.5594957438162186,4.2950589718821485e-5,0.005743090991353963
Tcan_10914.1,2381.710286587347,1.3202948810877533,0.39873399541467897,4.341208336900236e-5,0.005743090991353963
Tcan_02640.1,576.7296364026414,1.305932775254947,0.39475642338944195,4.413406777685678e-5,0.005784037686307128
Tcan_02426.1,332.83005452427136,1.2701299327097746,0.38386537416248173,4.4905823174924016e-5,0.005830688503536661
Tcan_11939.1,102.66015586263052,-1.6548182434688752,0.5085732138436557,4.709647632399632e-5,0.006059026490746793
Tcan_13542.1,78.75804826911558,-1.7863192987815608,0.5514690051597397,4.876864148471275e-5,0.006217115086728427
Tcan_12175.1,469.3787441627094,-1.143644010764666,0.348999404007315,5.2345828890239874e-5,0.006613023049800304
Tcan_16032.1,120.14927147583525,-1.75514097436448,0.5498357857677064,5.5191015246583625e-5,0.006910210775025376
Tcan_07047.1,3311.495435201704,1.14117926391779,0.35076829118317787,5.6208913014746456e-5,0.006975376877927341
Tcan_11706.1,55.579403478336275,2.2372055393847665,0.7150661110757465,6.515404563946357e-5,0.00792314997221384
Tcan_03746.1,431.2801326705988,-1.1130979158888707,0.3456925399641673,6.472994766673259e-5,0.00792314997221384
Tcan_05493.1,12.587344191919149,6.8609330126774735,2.926162995334677,6.554128194942633e-5,0.00792314997221384
Tcan_10304.1,2130.0596380976176,1.1340224143582258,0.35291276551779605,6.665902312984559e-5,0.007989397276494227
Tcan_00340.1,21.687293961155206,3.6198481288186475,1.143814247082264,6.92147653583461e-5,0.008225412327288876
Tcan_12689.1,1191.3732395287254,-1.3179326836359795,0.41822180447952256,7.134514007989984e-5,0.008270106901534303
Tcan_03910.1,592.2768271597821,-1.6112533460221985,0.517004068604961,7.081925765279691e-5,0.008270106901534303
Tcan_02548.1,28.332656590036894,6.367648701957035,1.8319538491334262,7.253104709695112e-5,0.008270106901534303
Tcan_08186.1,2209.408590952371,-1.6105119710353086,0.5178700258708558,7.183792769505482e-5,0.008270106901534303
Tcan_12954.1,367.5336413442657,1.157060333582266,0.36340148133498834,7.253962410958563e-5,0.008270106901534303
Tcan_11033.1,1051.4537351862941,1.3647210678821746,0.43377533170552024,7.327500677804093e-5,0.008286575968132806
Tcan_02883.1,125.99972563731455,-1.8448044580885667,0.5969494543630964,7.453043071410688e-5,0.008322233357354165
Tcan_02981.1,256.9879624102752,1.2193932390308313,0.3856826288522476,7.477725187382334e-5,0.008322233357354165
Tcan_06632.1,916.1726112670435,1.2656638487069969,0.4015731647159985,7.55470498633041e-5,0.008341702993961524
Tcan_05653.1,290.80135438678076,-1.1813822240163014,0.3786751804810725,8.583059564641729e-5,0.009330251494183796
Tcan_14564.1,311.6416322363448,-1.1991010896583656,0.38549998726200674,8.719018898978652e-5,0.009405138616952125
Tcan_12854.1,240.38537096162437,2.7619344181981096,0.9264521209233387,8.814665906544009e-5,0.009435729771562339
Tcan_12247.1,84.85956506511332,3.07248898223356,1.0409850346695253,9.524736129312128e-5,0.01011858899555636
Tcan_16388.1,2411.3064429933675,1.0466807914748277,0.33838229089269717,1.0270372192490206e-4,0.0108286788913752
Tcan_03040.1,131.48674184564197,-1.6608736717676182,0.5546863261713991,1.0427380107737067e-4,0.010912175466477379
Tcan_15776.1,41.91207934859831,-2.7047745541259482,0.9121852618985619,1.0978796098579327e-4,0.011348740056367873
Tcan_14981.1,4138.369482881451,-1.1174173534815897,0.3663002884920211,1.1006408383841052e-4,0.011348740056367873
Tcan_05889.1,79.94898520071145,3.850520632614913,1.3772852388866776,1.3125759478960472e-4,0.013147323226675906
Tcan_04027.1,265.45711258289043,-1.1985453147328735,0.4023870652285545,1.311330293169027e-4,0.013147323226675906
Tcan_16518.1,101.03654406024711,2.765009740306409,0.9735343389174759,1.3514838523708412e-4,0.013441034086380359
Tcan_16350.1,547.262469348424,1.145529166457246,0.38446544109075875,1.391955073239136e-4,0.013746046473262255
Tcan_05049.1,757.9446997151947,-1.2160572403678829,0.41209683534972363,1.40373097268364e-4,0.013765398202757122
Tcan_13878.1,185.62481183623316,-1.2724354287147943,0.43588306282884676,1.5216219391213492e-4,0.014353258491366613
Tcan_02383.1,12.189525643681732,6.820045315290272,3.107962878275744,1.5236208725946684e-4,0.014353258491366613
Tcan_04679.1,600.5654567550253,-2.2384867874745598,0.7955198637679171,1.4851201735318514e-4,0.014353258491366613
Tcan_16535.1,148.38165877224014,-1.3751312874069355,0.472165579773133,1.485613588867645e-4,0.014353258491366613
Tcan_00008.1,11746.833394016092,1.552543605655611,0.5344482906240521,1.5250912894627578e-4,0.014353258491366613
Tcan_06538.1,43.16445972763172,-2.7129627054091148,0.9527179809762667,1.5210255158743755e-4,0.014353258491366613
Tcan_05892.1,26.52831840491028,4.670866305529437,1.610074173531849,1.5401691595278718e-4,0.01436357190405107
Tcan_01075.1,26917.177993876878,-1.267661976710756,0.43890385068793003,1.6266185894729898e-4,0.015006626631697195
Tcan_13022.1,151.0798789623546,1.3773971536167833,0.4770647689924457,1.638589619622725e-4,0.015018262899326451
Tcan_07204.1,45.65214882036616,4.8441297127875425,1.7938487576353368,1.738944539056705e-4,0.015834557968306608
Tcan_05288.1,1702.323739624972,-1.0832498193063302,0.3731618297838347,0.00017708703166570061,0.01602123512934271
Tcan_07609.1,376.6397135622157,1.9547497824495588,0.6996798314080758,1.8078423418961287e-4,0.016250880231031675
Tcan_07580.1,608.9568168767014,-1.2399608214081124,0.43486381547227104,1.8382493242667035e-4,0.016418961958084066
Tcan_03433.1,4960.9035256783245,-1.619877023249059,0.5817179148327187,1.8998761659030512e-4,0.016862002199024357
Tcan_08916.1,48.0314199016793,-2.0866338171834684,0.7542784470771383,2.0293299802959277e-4,0.017897669379679116
Tcan_02739.1,21.494027752769796,3.195550425730858,1.1788162535404267,2.1677097120703447e-4,0.018998620807726525
Tcan_12019.1,580.1257223658268,1.1491456653241268,0.40667348358406175,2.182801300257118e-4,0.019012063747518983
Tcan_13003.1,4970.459554456396,1.1828997782997663,0.4200795544518055,2.2122417511439822e-4,0.019149546960674113
Tcan_10092.1,7559.921408797093,-1.805048644049901,0.668369239860924,2.2332211554585137e-4,0.01921255230858573
Tcan_05731.1,49.299681781329134,-2.2654463812505012,0.8367105296283326,2.3027272320133108e-4,0.01968434137130812
Tcan_14799.1,20.2917705105853,-3.529476337982897,1.2200368239414752,2.499666219012506e-4,0.021116156258561673
Tcan_12794.1,2120.6684250028975,1.0197096808306623,0.36329590340487355,2.554641478647279e-4,0.02132365324706595
Tcan_08983.1,50.65855514273215,-1.8713944964783886,0.6940870621423922,2.552953902641855e-4,0.02132365324706595
Tcan_05332.1,199.9351397003312,-1.9109888274297329,0.7229801309810134,2.5879796410888085e-4,0.0214741056254369
Tcan_12707.1,578.5858568794589,-1.4344052863462238,0.5323057406260169,2.6160023228622526e-4,0.021578941513821982
Tcan_10120.1,75.31308870294227,-1.5492357636220695,0.5739181723439553,2.637461512692369e-4,0.02162872677923105
Tcan_00854.1,1177.9958452507315,-1.1075249914508605,0.40294953000665057,2.725791900390351e-4,0.022139156882906737
Tcan_14999.1,189.03073664750832,-2.188384159981685,0.8464483908733882,2.816129865125826e-4,0.02256605091351969
Tcan_04520.1,11258.350750356112,1.6219515634991868,0.6126136308386051,2.901378128291289e-4,0.023114163571708465
Tcan_08315.1,406.1680437495864,-1.2168804375414155,0.4512028100215902,2.917497648286671e-4,0.023114163571708465
Tcan_00659.1,81.47781454965836,2.7588219135581893,1.0922121242215344,3.102765647917609e-4,0.024307308760194764
Tcan_14983.1,70.99127672816596,2.3819035127703856,0.9524833542104063,3.535349646863855e-4,0.026550819282708357
Tcan_10841.1,648.1390760692728,1.072464778231773,0.40007098902525307,3.466881060970963e-4,0.026550819282708357
Tcan_15214.1,354.7534289394518,1.3690641925835725,0.5242857272003194,3.490899375207948e-4,0.026550819282708357
Tcan_16522.1,48.5606908558102,2.737011698290462,1.1018779158213103,3.540614138106299e-4,0.026550819282708357
Tcan_14420.1,9188.723308288081,1.1621738032192002,0.4409586255341589,3.6649802392474363e-4,0.027337243561152552
Tcan_02895.1,22.216035075715812,3.9212717660399945,1.5601668282543142,3.7794762457001567e-4,0.027894523891291212
Tcan_06990.1,6395.51541350117,1.3389355416768207,0.5150698547765261,3.947577596427175e-4,0.028831708663905352
Tcan_14998.1,2666.008581203133,1.0412988167755652,0.3955176213449241,4.0541448962244127e-4,0.0294566185905466
Tcan_06175.1,235.84673528242135,-1.1523897220209811,0.44572934783779833,4.1402941217816346e-4,0.029927497149352503
Tcan_09905.1,47.21306740134781,3.2844132267912767,1.389402707703849,4.2922569702521146e-4,0.030866830509664312
Tcan_14234.1,337.95671671787176,2.121374944329703,0.8823198795103974,4.64247089473559e-4,0.032714255958229736
Tcan_10130.1,94.30154440453903,2.244847830943061,0.9367230425251744,4.628601805022758e-4,0.032714255958229736
